time,close,open,high,low,volume,percent,code
5-Jan-15,106.25,108.29,108.65,105.41,64.29M,-2.82%,AAPL
6-Jan-15,106.26,106.54,107.43,104.63,65.80M,0.01%,AAPL
7-Jan-15,107.75,107.2,108.2,106.69,40.11M,1.40%,AAPL
8-Jan-15,111.89,109.23,112.15,108.7,59.36M,3.84%,AAPL
9-Jan-15,112.01,112.67,113.25,110.21,53.70M,0.11%,AAPL
5-Jan-15,64.79,65.87,65.87,64.72,12.75M,-2.20%,V
6-Jan-15,64.38,64.95,65.19,63.71,11.07M,-0.63%,V
7-Jan-15,65.24,64.61,65.28,64.36,9.35M,1.34%,V
8-Jan-15,66.11,65.8,66.28,65.66,10.44M,1.33%,V
9-Jan-15,65.13,65.9,66.12,64.94,10.52M,-1.48%,V
5-Jan-15,101,102.76,103.02,99.9,18.34M,-2.51%,BABA
6-Jan-15,103.32,101.25,103.85,100.11,15.72M,2.30%,BABA
7-Jan-15,102.13,104.59,104.74,102.03,11.05M,-1.15%,BABA
8-Jan-15,105.03,102.95,105.34,102.68,12.94M,2.84%,BABA
9-Jan-15,103.02,105.24,105.3,102.89,10.22M,-1.91%,BABA
5-Jan-15,71.98,72.21,72.43,71.57,2.41M,-0.50%,ADBE
6-Jan-15,70.53,71.95,72.1,69.88,2.90M,-2.01%,ADBE
7-Jan-15,71.11,70.77,71.29,70.42,2.38M,0.82%,ADBE
8-Jan-15,72.92,71.4,73.06,71.31,2.62M,2.55%,ADBE
9-Jan-15,71.84,72.89,73.13,71.63,1.73M,-1.48%,ADBE
5-Jan-15,20.26,20.45,20.45,20.21,1.08M,-1.46%,SNE
6-Jan-15,20.25,20.46,20.58,20.15,2.21M,-0.05%,SNE
7-Jan-15,21.53,21.59,21.7,21.47,2.49M,6.32%,SNE
8-Jan-15,21.56,21.53,21.62,21.47,1.30M,0.14%,SNE
9-Jan-15,21.34,21.78,21.79,21.32,3.01M,-1.02%,SNE
